datetime,1335A,1336A,1337A,1338A,1339A,1340A,1341A,1342A,1343A,1344A,average_pm2.5
2023/12/28,184.875,173.20833333333334,173.375,192.5,166.5,186.25,169.66666666666666,169.20833333333334,180.29166666666666,155.20833333333334,175.10833333333335
2023/12/29,208.95833333333334,197.16666666666666,211.33333333333334,209.16666666666666,206.875,196.25,200.04166666666666,186.41666666666666,203.5,185.66666666666666,200.5375
2023/12/30,184.16666666666666,173,186.79166666666666,185.91666666666666,183.83333333333334,177,181.25,162.45833333333334,182.04166666666666,156.54166666666666,177.29999999999998
2023/12/31,126.41666666666667,134.16666666666666,140.375,138.95833333333334,150.33333333333334,121.375,133.25,118.45833333333333,138.29166666666666,88.66666666666667,129.02916666666667
2024/1/1,80.45833333333333,78.91666666666667,81.83333333333333,85.54166666666667,86.54166666666667,78.875,87.04166666666667,75.94642857416666,81.625,72.41666666666667,80.91964286
2024/1/2,78.79166666666667,74,80.375,79.375,83.29166666666667,73.97916666666667,72.95833333333333,78.51190476250001,79.20833333333333,67.79166666666667,76.82827380833334
2024/1/3,46.541666666666664,49.208333333333336,43.208333333333336,53.791666666666664,50.916666666666664,46.875,49.833333333333336,50.5,51.375,34.208333333333336,47.645833333333336
2024/1/4,48.958333333333336,53.645833333333336,56.125,54.916666666666664,51.583333333333336,56.083333333333336,58.5,48.375,51.291666666666664,37.708333333333336,51.71875
2024/1/5,56.875,49.041666666666664,63.229166666666664,55.916666666666664,52.541666666666664,62.083333333333336,57.541666666666664,49.541666666666664,51.041666666666664,47.75,54.55625
2024/1/6,83.5,77.5,75.91666666666667,88.41666666666667,79.95833333333333,86.875,79.91666666666667,82,79.70833333333333,62.5,79.62916666666666
2024/1/7,121.83333333333333,112,112.5625,128.625,115.875,122.58333333333333,114.58333333333333,113.79166666666667,115.4375,97.875,115.51666666666667
2024/1/8,108.58333333333333,98.91666666666667,109.33333333333333,109.625,112.20833333333333,100.20833333333333,106,106.4375,105.41666666666667,89.08333333333333,104.58125
2024/1/9,103.5,100.25,102.625,111.5,106.91666666666667,105,104.625,102.875,99.66666666666667,77.29166666666667,101.425
2024/1/10,110.91666666666667,106.375,103.70833333333333,117.54166666666667,111.91666666666667,109.70833333333333,112.16666666666667,106.70833333333333,110.79166666666667,78.08333333333333,106.79166666666667
2024/1/11,65.29166666666667,77.375,76.08333333333333,73.95833333333333,72.25,74.66666666666667,79.70833333333333,69.45833333333333,81.54166666666667,59.5,72.98333333333333
